0,1,2
5,1,4
5,2,1
3,2,5
3,5,7
6,3,7
6,7,9
8,6,9
10,11,13
12,10,13
1,13,14
1,0,13
0,12,13
1,14,4
15,8,16
16,8,9
15,16,18
17,15,18
19,20,21
21,20,11
11,20,22
10,21,11
17,18,24
23,17,24
23,24,26
25,23,26
20,28,29
20,19,28
19,27,28
20,29,22
31,25,26
31,30,25
27,33,28
27,32,33
35,30,31
35,34,30
33,32,37
37,32,36
37,38,43
37,36,38
41,34,35
41,40,34
38,42,43
39,37,43
42,44,45
43,42,45
46,47,49
48,46,49
47,40,41
49,47,41
44,50,51
45,44,51
51,50,53
53,50,52
52,54,55
53,52,55
54,56,57
55,54,57
56,46,48
57,56,48
4,58,5
7,58,59
7,5,58
7,59,9
11,60,13
13,60,14
14,60,61
14,61,62
14,62,4
58,4,63
4,62,63
59,58,64
64,58,63
65,59,64
65,16,59
16,9,59
16,65,66
18,16,66
22,67,68
60,22,68
11,22,60
60,68,61
18,66,70
70,66,69
24,18,70
24,70,26
28,71,29
67,29,72
72,29,71
22,29,67
70,69,73
73,26,70
73,74,31
73,31,26
33,75,71
28,33,71
71,75,76
72,71,76
81,78,79
35,31,74
78,77,74
77,35,74
33,37,75
75,39,80
76,75,80
75,37,39
81,79,82
81,77,78
41,35,77
81,41,77
39,43,83
80,39,83
43,45,83
85,45,84
83,45,85
84,86,85
87,88,89
88,90,91
88,87,90
48,49,82
82,49,81
90,48,82
91,90,82
49,41,81
45,51,84
84,53,92
86,84,92
84,51,53
92,55,87
89,92,87
92,53,55
87,57,90
87,55,57
57,48,90
61,93,62
62,93,63
63,93,94
64,94,95
64,63,94
65,95,96
65,64,95
65,96,66
67,97,68
61,68,98
98,68,97
61,98,93
93,98,99
94,99,100
94,93,99
94,100,101
95,94,101
95,101,96
96,101,102
69,102,103
69,66,96
102,69,96
72,104,97
67,72,97
97,104,105
122,97,105
106,102,107
106,103,102
108,103,106
108,73,103
73,69,103
74,108,78
76,109,104
72,76,104
104,109,110
105,104,110
106,107,112
111,106,112
79,78,111
111,78,108
111,108,106
108,74,73
80,113,109
76,80,109
115,113,114
115,110,109
115,109,113
114,121,117
115,114,117
116,118,119
129,116,119
118,120,119
112,120,111
119,120,112
120,79,111
120,91,79
80,83,113
83,85,113
113,85,114
114,86,121
116,117,121
114,85,86
89,88,118
121,89,118
121,118,116
118,91,120
118,88,91
91,82,79
86,92,89
86,89,121
98,122,99
99,122,123
100,99,123
100,123,127
101,100,124
101,124,102
105,125,122
98,97,122
123,125,126
123,122,125
123,126,127
124,100,127
107,102,124
127,107,124
110,128,125
105,110,125
125,128,126
126,128,129
127,126,130
130,126,129
130,107,127
130,112,107
110,115,128
128,117,129
128,115,117
117,116,129
129,119,130
119,112,130
